

Software Version	3.03.14



Experiment File Path:	C:\Users\synergy\Desktop\T.Lindsay\TLPR21_CHL_CNAT_08312023.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt



Plate Number	Plate 1
Date	8/31/2023
Time	4:16:29 PM
Reader Type:	Synergy HTX
Reader Serial Number:	18041123
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Read	Chl
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630, 663, 750
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	21.7



Actual Temperature:	21.7



Actual Temperature:	21.7

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.036	0.028	0.065	0.073	0.052	0.057	0.054	0.059	0.052	0.057	0.076	0.084	Chl:630
	0.031	0.027	0.161	0.185	0.124	0.143	0.124	0.136	0.122	0.139	0.225	0.259	Chl:663
	0.032	0.028	0.029	0.034	0.028	0.028	0.033	0.029	0.028	0.029	0.031	0.030	Chl:750
B	0.089	0.101	0.097	0.111	0.076	0.081	0.056	0.063	0.067	0.073	0.059	0.062	Chl:630
	0.269	0.313	0.278	0.326	0.216	0.241	0.126	0.143	0.163	0.182	0.133	0.148	Chl:663
	0.029	0.029	0.030	0.030	0.031	0.029	0.031	0.029	0.031	0.035	0.030	0.030	Chl:750
C	0.057	0.062	0.118	0.132	0.096	0.103	0.099	0.114	0.110	0.118	0.097	0.107	Chl:630
	0.138	0.160	0.404	0.473	0.258	0.301	0.342	0.392	0.334	0.381	0.286	0.320	Chl:663
	0.029	0.029	0.031	0.030	0.029	0.032	0.029	0.031	0.032	0.036	0.031	0.035	Chl:750
D	0.047	0.053	0.059	0.062	0.064	0.069	0.051	0.059	0.086	0.091	0.062	0.063	Chl:630
	0.102	0.119	0.161	0.181	0.172	0.192	0.119	0.139	0.228	0.256	0.134	0.149	Chl:663
	0.029	0.034	0.030	0.030	0.029	0.029	0.029	0.033	0.032	0.036	0.030	0.031	Chl:750
E	0.087	0.096	0.095	0.105	0.070	0.077	0.140	0.157	0.066	0.071	0.068	0.069	Chl:630
	0.277	0.317	0.289	0.328	0.230	0.266	0.452	0.518	0.183	0.206	0.163	0.179	Chl:663
	0.031	0.031	0.033	0.031	0.029	0.029	0.031	0.029	0.030	0.029	0.030	0.030	Chl:750
F	0.094	0.102	0.047	0.052	0.181	0.208	0.046	0.048	0.092	0.107	0.131	0.147	Chl:630
	0.238	0.261	0.102	0.116	0.619	0.707	0.092	0.102	0.281	0.326	0.426	0.492	Chl:663
	0.034	0.031	0.029	0.031	0.030	0.034	0.029	0.029	0.030	0.035	0.030	0.031	Chl:750
G	0.095	0.114	0.055	0.060	0.052	0.057	0.066	0.074	0.121	0.126	0.086	0.095	Chl:630
	0.299	0.358	0.125	0.141	0.138	0.155	0.169	0.196	0.374	0.416	0.246	0.280	Chl:663
	0.029	0.033	0.031	0.029	0.029	0.029	0.030	0.032	0.042	0.030	0.030	0.031	Chl:750
H	0.063	0.070	0.028	0.029	0.029	0.030	0.030	0.030	0.029	0.031	0.029	0.031	Chl:630
	0.180	0.206	0.028	0.028	0.028	0.029	0.030	0.030	0.029	0.031	0.029	0.030	Chl:663
	0.029	0.030	0.028	0.028	0.028	0.029	0.029	0.030	0.029	0.031	0.029	0.030	Chl:750

