Software Version,3.03.14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\T.Lindsay\TL_Trans_CHL_10032022.xpt,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,10/3/22,,,,,,,,,,,,
Time,12:00:24 PM,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.5,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.5,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,20.5,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.028,0.028,0.05,0.052,0.047,0.048,0.046,0.049,0.044,0.047,0.037,0.039,Chl:630
,0.027,0.028,0.117,0.13,0.085,0.092,0.107,0.118,0.103,0.116,0.068,0.076,Chl:663
,0.027,0.028,0.029,0.03,0.034,0.034,0.029,0.029,0.028,0.028,0.028,0.028,Chl:750
B,0.04,0.04,0.04,0.043,0.035,0.036,0.039,0.041,0.038,0.04,0.044,0.045,Chl:630
,0.077,0.084,0.084,0.092,0.062,0.067,0.074,0.082,0.07,0.076,0.09,0.097,Chl:663
,0.029,0.028,0.028,0.029,0.028,0.028,0.029,0.03,0.028,0.029,0.031,0.03,Chl:750
C,0.039,0.043,0.039,0.043,0.045,0.049,0.045,0.052,0.042,0.044,0.038,0.04,Chl:630
,0.082,0.092,0.074,0.083,0.103,0.115,0.095,0.11,0.086,0.094,0.071,0.078,Chl:663
,0.028,0.03,0.028,0.03,0.028,0.029,0.028,0.033,0.029,0.029,0.029,0.029,Chl:750
D,0.04,0.045,0.037,0.04,0.04,0.04,0.041,0.044,0.046,0.049,0.042,0.045,Chl:630
,0.081,0.092,0.071,0.078,0.077,0.082,0.086,0.095,0.103,0.113,0.089,0.099,Chl:663
,0.028,0.031,0.028,0.029,0.029,0.028,0.028,0.029,0.029,0.03,0.029,0.029,Chl:750
E,0.048,0.05,0.038,0.04,0.039,0.039,0.044,0.043,0.043,0.044,0.032,0.034,Chl:630
,0.113,0.125,0.076,0.085,0.075,0.079,0.082,0.087,0.091,0.1,0.05,0.053,Chl:663
,0.03,0.029,0.028,0.028,0.029,0.028,0.032,0.03,0.029,0.028,0.028,0.028,Chl:750
F,0.047,0.049,0.041,0.043,0.036,0.037,0.053,0.058,0.044,0.051,0.034,0.035,Chl:630
,0.103,0.113,0.091,0.1,0.063,0.067,0.134,0.151,0.099,0.116,0.055,0.059,Chl:663
,0.029,0.028,0.028,0.029,0.028,0.028,0.028,0.029,0.028,0.03,0.028,0.028,Chl:750
G,0.046,0.047,0.029,0.029,0.029,0.028,0.029,0.028,0.031,0.029,0.032,0.028,Chl:630
,0.103,0.111,0.029,0.028,0.029,0.028,0.028,0.028,0.032,0.029,0.031,0.028,Chl:663
,0.03,0.028,0.028,0.028,0.029,0.028,0.028,0.028,0.032,0.029,0.031,0.028,Chl:750
H,0.028,0.028,0.029,0.03,0.028,0.028,0.029,0.029,0.029,0.028,0.028,0.028,Chl:630
,0.028,0.028,0.028,0.03,0.028,0.028,0.029,0.029,0.028,0.028,0.028,0.028,Chl:663
,0.028,0.028,0.028,0.029,0.028,0.028,0.028,0.029,0.028,0.028,0.028,0.028,Chl:750
